id_venta,id_cliente,id_vehiculo,id_empleado,fecha_venta,monto_total
1001,1,101,10,2024-05-12,85000000.0
1002,2,102,11,,45000000.0
1003,3,104,10,,120000000.0
1004,0,103,13,2024-08-01,65000000.0
1005,5,0,10,,0.0
1006,6,105,11,,25000000.0
1007,7,106,13,,30000000.0
1008,8,107,10,2024-11-15,35000000.0
1009,9,0,11,,75000000.0
1010,10,109,13,,95000000.0
1011,11,110,10,,40000000.0
1012,0,111,11,2024-12-10,110000000.0
1013,13,112,13,,68000000.0
1014,14,113,10,2025-01-15,32000000.0
1015,15,114,11,,80000000.0
1016,16,115,13,,130000000.0
1017,17,116,10,,140000000.0
1018,18,117,11,,0.0
1019,19,118,13,,115000000.0
1020,20,119,10,2025-03-10,180000000.0
1021,0,120,11,,85000000.0
1022,22,121,13,,200000000.0
1023,23,122,10,2025-04-02,55000000.0
1024,1,108,11,,75000000.0
